,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
7242,2016,indiana_parke,4.07232,0.1625657227408793,0.0752989707917896,0.2636572147287505,0.7662688977017846,1.4837680304787826,1.3709587633712188,0.029877548492964
7284,2016,indiana_putnam,3.95136,0.6361863065396318,0.5033902113063412,0.000836214346346,0.2178533526968367,1.4132868320416383,1.5346257116955655,0.0353750291254271
7367,2016,indiana_vermillion,4.22016,1.0504087683466012,0.917947290538654,0.9374298389931568,1.472922939008943,2.2722481607520666,2.24468938467083,0.0496611415599508
7450,2016,indiana_warren,4.3344,1.844405800795209,1.7183681141696692,1.4652966194164352,1.6988241438013347,2.5073456375495256,2.470877748341952,0.016720632729975
7492,2016,iowa_boone,4.04544,3.4224981830200867,3.3258002542211744,2.430955281569332,2.484958561688367,3.2874035711071854,3.856148185308263,0.0190036620243376
7534,2016,iowa_dallas,3.94464,4.140471199230427,4.042328236459782,3.245066658085921,3.340553126882741,3.7414720525031417,3.7834819515555296,0.0027711836629287
7576,2016,iowa_grundy,4.354559999999999,1.4572159780160283,1.2584356997220327,1.3729325298220942,1.4140329844728707,1.968593365645324,2.5444543545146536,0.0190036620243376
7618,2016,iowa_hamilton,4.0992,2.409273927311103,2.3849351811781525,1.843005185599128,1.827191653462748,2.441553112659604,3.302911956484119,0.0190036620243376
7660,2016,iowa_hardin,4.02528,1.3488703576073622,1.1208409882945092,0.4924568704054232,0.5324916454176141,1.653731221895982,2.31865332159123,0.0190036620243376
7702,2016,iowa_jasper,4.05216,2.580934759684563,2.365519025439543,1.662709551969944,1.6959407603537338,2.025723014440114,2.100770635487243,0.002067311667907
7743,2016,iowa_marshall,4.20672,2.349006073747058,2.1033490216568573,1.4400326483074,1.4622580489486772,2.348714782842513,2.879099496909731,0.0190036620243376
7784,2016,iowa_polk,3.70944,3.021159340044139,2.789613535987259,2.1369692317906206,2.214569982456742,2.807188870601601,3.190793360786877,0.0190036620243376
7826,2016,iowa_poweshiek,3.864,2.02138194763018,1.8172542243373049,0.6866891228536671,0.7817221010542941,2.0324829409043943,2.164326350456015,0.0162419357528341
7867,2016,iowa_story,3.92448,3.013459198405478,2.790454346068162,1.9507644853659447,1.990047843506916,3.007736041919159,3.788706404438113,0.0190036620243376
