,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
21131,2012,nebraska_webster,2.63424,-1.751309504111608,-2.0544643231800626,-3.002619090534392,0.5421458347848946,-3.434523803847177,-4.395436593464443,-4.656666767029535,0.5241599475695086
21172,2012,nebraska_clay,3.66912,-2.1521381543111167,-2.3456091476723424,-3.2609589948297555,0.6683144252464918,-3.722641774771153,-4.771803340137268,-5.0680699403093294,0.5241599475695086
21213,2012,nebraska_fillmore,3.5212799999999995,-2.488089953257898,-2.715536138839288,-3.7186851093365503,0.5426183254406782,-4.230766127561407,-5.346281865888698,-5.5949821200437215,0.5241599475695086
21254,2012,nebraska_gage,2.19072,-2.4534920074393254,-2.7073652830586954,-3.908189683215613,0.4284710278062549,-4.454935692749448,-5.468607165387872,-5.606503822680176,0.5241599475695086
21296,2012,nebraska_jefferson,2.57376,-2.263375946192392,-2.537912673417668,-3.722650849519272,0.5397925128902904,-4.1782015620820925,-5.177977796581747,-5.343154540259944,0.5241599475695086
21337,2012,nebraska_johnson,2.0496,-2.399417913693648,-2.622207667644207,-3.8394628336490726,0.4307225881002919,-4.467489676964588,-5.497008596077943,-5.602373088812215,0.5241599475695086
21377,2012,nebraska_nemaha,2.41248,-2.360704014519268,-2.595589028911048,-3.853429396369791,0.4554734777275797,-4.546287798854621,-5.257080720545564,-5.252803649374917,0.5241599475695086
21419,2012,nebraska_nuckolls,2.9904,-2.1325436331505,-2.347238476193229,-3.3247965553472207,0.5975173332613741,-3.658691872690999,-4.664864346038463,-4.916845784630886,0.5241599475695086
21458,2012,nebraska_otoe,1.97568,-2.553783930552449,-2.742497389139572,-3.961269127657164,0.4688982643562465,-4.699361959963519,-5.692495640732954,-5.767365980754018,0.5241599475695086
21499,2012,nebraska_pawnee,1.89504,-2.417786617972102,-2.697387398814472,-3.8911745241989015,0.398198359990632,-4.429373076652675,-5.146173690618896,-5.170742041989017,0.5241599475695086
21541,2012,nebraska_richardson,2.62752,-2.2389533128914523,-2.503301607123997,-3.8418087445872375,0.4863257791945264,-4.451052409122482,-4.938816697372939,-4.840856311111974,0.5241599475695086
21583,2012,nebraska_saline,2.49312,-2.5007327096802854,-2.7129660000449505,-3.823286290542322,0.4780026082113722,-4.421870367318256,-5.63838173936589,-5.834682629130404,0.5241599475695086
