,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,EVI_Dough,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
16445,2012,missouri_pettis,2.6404704052000003,-1.8717894057501177,-1.8155769640000807,-3.4119442608630504,0.4190225397873072,-4.23665518163404,-4.728805936567006,-5.042115178997567,-5.374375957555524,0.2247161039904944
16486,2012,missouri_saline,5.2872127116000005,-1.8626046313496087,-1.8962926254886512,-3.507081945254243,0.4800914231656281,-4.380496780521767,-4.888279091322222,-5.204234590287192,-5.365867574142922,0.2247161039904944
16526,2012,missouri_franklin,3.0418720820000003,-2.361004394467114,-2.3164883041939537,-3.995030709525995,0.4258458310052551,-4.887285102041145,-5.398769074852704,-5.602014667388292,-5.496482442972952,0.2247161039904944
16601,2012,missouri_jefferson,2.8035398364000006,-1.3708332975705464,-1.4711111328668067,-3.019947931170464,0.4180033543233464,-3.914947912096977,-4.509444524844487,-4.772777845462164,-4.7975346313582525,0.2247161039904944
16640,2012,missouri_lincoln,2.8098117376,-2.93488027732973,-2.7295343902523954,-4.090877911898012,0.4319349508793078,-4.909668876091577,-5.398895982289194,-5.614624859773596,-5.613133827020717,0.2247161039904944
16677,2012,missouri_montgomery,1.9505612732,-3.0833768654818563,-2.9839925558412848,-4.499113636230356,0.4159032301787835,-5.315065293169734,-5.764514906489435,-5.971243731418061,-5.930771063216291,0.2247161039904944
16714,2012,missouri_perry,3.8070440284,-0.6856947230382908,-1.1785746636300485,-3.1656605089247343,0.4574974650849429,-4.089310098300941,-4.735645672735324,-5.037452641143102,-5.081474276204865,0.2247161039904944
16754,2012,missouri_warren,3.1359506,-2.67652058424773,-2.598748994266056,-4.229052481827913,0.4114930115752001,-5.087361072610927,-5.572876511091067,-5.779860029102843,-5.736434161025311,0.2247161039904944
16794,2012,missouri_carroll,5.2934846128,-1.839021260172996,-2.0383221449067928,-3.5704236825973927,0.5075123199146128,-4.464231091324383,-4.987643551239764,-5.286714174247872,-5.305078293742039,0.2247161039904944
16833,2012,missouri_chariton,3.5875274864000004,-2.0272385899613545,-2.0165489408393054,-3.627680850389929,0.5190513495943438,-4.371427779041287,-4.799784101155215,-5.068745379024172,-5.264729528424451,0.2247161039904944
16869,2012,missouri_grundy,3.794500226,-1.866111093097263,-1.8805555370118885,-3.2691666285196943,0.4841537115400928,-3.962499936421713,-4.40944438510471,-4.7077777120802144,-5.228888988494873,0.2247161039904944
16902,2012,missouri_linn,3.2174853156,-2.011666695276896,-2.0233333508173623,-3.612499952316284,0.4924413558773417,-4.200000047683716,-4.561666647593181,-4.8183333079020185,-5.115000089009603,0.2247161039904944
16935,2012,missouri_livingston,3.1422225012000005,-2.089999993642172,-2.1449999809265137,-3.742500066757202,0.4563684974884097,-4.434999942779541,-4.820000012715657,-5.048333326975505,-5.173333326975505,0.2247161039904944
17034,2012,missouri_putnam,4.1143671872,-2.3200000127156577,-2.3700000445048013,-3.609999895095825,0.4620287790643781,-4.292500019073486,-4.731666564941406,-4.983333269755046,-5.445000012715657,0.2247161039904944
17065,2012,missouri_randolph,2.477400974,-3.1533333460489907,-3.006666660308838,-4.3450000286102295,0.4079331116343953,-5.182499885559082,-5.581666628519694,-5.791666666666667,-5.87333329518636,0.2247161039904944
17131,2012,missouri_sullivan,2.8788026508,-2.009999990463257,-2.06499989827474,-3.377500057220459,0.3916804285468946,-4.120000123977661,-4.588333447774251,-4.881666819254558,-5.370000044504802,0.2247161039904944
17166,2012,missouri_audrain,2.0948150008,-3.27936787800236,-3.112311220604288,-4.488711806977326,0.4310947550360796,-5.272580381215603,-5.694664365396228,-5.919605134631781,-6.024140071264621,0.2247161039904944
17207,2012,missouri_clark,4.3025242232,-3.1770442734053472,-3.159815978062479,-3.797038510998753,0.4976122715300467,-4.402689831979388,-4.864656933975877,-5.135501241327497,-5.453577756836013,0.2247161039904944
17240,2012,missouri_knox,2.5463918872000004,-3.0226783515625733,-3.0778724876822423,-4.098565450564715,0.4731824588025273,-4.712898327455788,-5.118043735316353,-5.340003240085221,-5.439758193748837,0.2247161039904944
17278,2012,missouri_lewis,2.5714794920000004,-3.276864453803169,-3.268842650731405,-4.306123346773784,0.4660102701155626,-4.939145951970419,-5.371280872005888,-5.630694246927899,-5.785915959760879,0.2247161039904944
17318,2012,missouri_marion,4.1833581004,-3.391158567932223,-3.365873742415595,-4.525814099895486,0.473066141479642,-5.165565826601024,-5.567771363203299,-5.802925282390967,-5.885007665192191,0.2247161039904944
17357,2012,missouri_monroe,1.3986339676,-3.3290099998416856,-3.232049913681857,-4.562187816209249,0.4011138725774763,-5.376558322867449,-5.786029792355282,-5.989952814181781,-6.059645735362033,0.2247161039904944
17398,2012,missouri_pike,2.696917516,-3.610138823811491,-3.45567817103471,-4.75349061995819,0.4296344617735107,-5.512856894092826,-5.934932377494865,-6.150897716901558,-6.262092685733414,0.2247161039904944
17438,2012,missouri_ralls,2.5526637884000003,-3.669353363335893,-3.5724529286044686,-4.850462671359815,0.4220261162211566,-5.58910192192578,-5.990041864519056,-6.203939255701099,-6.335745592296811,0.2247161039904944
17478,2012,missouri_scotland,3.800772127200001,-2.790119929370855,-2.780351970833961,-3.455982465184096,0.4879858360315871,-4.083368799790288,-4.515771747086987,-4.752793585862776,-5.025091630491343,0.2247161039904944
17515,2012,missouri_shelby,2.226524926,-3.1225236986133447,-3.108509928173281,-4.327826293106752,0.4361340583770944,-4.994742362375232,-5.3777625146628125,-5.593588460766884,-5.77552662591432,0.2247161039904944
17552,2012,missouri_andrew,4.453049852,-1.1417591995910916,-1.199163142703376,-2.844518728333924,0.4918217216382226,-3.548551612470117,-4.070154904791633,-4.375281630040078,-4.785775537055351,0.2247161039904944
17590,2012,missouri_atchison,6.648215272000001,-1.7710751963877718,-1.8605481727256727,-3.311898404045784,0.5768988861661528,-3.915568888906424,-4.481027070732874,-4.776909806963773,-4.843810372038443,0.2247161039904944
17630,2012,missouri_buchanan,7.0433450476,-1.5084477177982982,-1.7753495262432069,-3.542285526617013,0.5213654370249933,-4.238782206186235,-4.716924836834841,-4.999041120324925,-5.387799522556272,0.2247161039904944
17704,2012,missouri_clay,5.4377383404,-2.221948224297034,-2.6276978502897728,-4.274600531412586,0.4842145633867023,-5.085650532212975,-5.530924651539308,-5.792298379372607,-5.753032683237502,0.2247161039904944
17742,2012,missouri_clinton,3.6126150912,-1.822777774598864,-2.038888878292508,-3.663333336512248,0.4306419260140798,-4.413333336512247,-4.864444414774577,-5.139999919467502,-5.430555555555556,0.2247161039904944
17894,2012,missouri_harrison,2.7470927256,-1.906415550727048,-1.8741514892953743,-3.21099917251472,0.424700004686062,-3.921629662649864,-4.381214603683225,-4.6583280084374525,-5.042112202610316,0.2247161039904944
17930,2012,missouri_holt,8.103296350399999,-1.20122790732125,-1.2449674345356552,-2.8870669653692915,0.5848506297085463,-3.496896283349326,-4.0723497875124925,-4.396810229959415,-4.503859867835231,0.2247161039904944
17968,2012,missouri_nodaway,5.5255449572,-1.4063627795331868,-1.302975655569586,-2.7774627447218307,0.5044976652062809,-3.4893507099727645,-4.04033695487417,-4.328017205386189,-4.494004041980285,0.2247161039904944
18006,2012,missouri_platte,5.2495813044,-1.909737960101075,-2.306279901654452,-4.079363227791617,0.4641329439201436,-4.802003068988826,-5.229249182201568,-5.476746038454671,-5.690650048740086,0.2247161039904944
18046,2012,missouri_ray,5.500457352400001,-1.7702074800424767,-2.128518812110641,-3.6968260419732366,0.5196529797173302,-4.594624901643394,-5.099289661385456,-5.376691425786826,-5.284446249037006,0.2247161039904944
18083,2012,missouri_worth,3.7882283248,-1.4916666746139526,-1.3233333031336467,-2.620000004768372,0.504190170302516,-3.387500047683716,-3.93500010172526,-4.193333466847737,-4.391666571299235,0.2247161039904944
18123,2012,missouri_bollinger,6.710934284,-0.4134150605804969,-1.19527719219102,-3.096769726352651,0.5147466120473936,-3.9738753314719775,-4.422377489438358,-4.634957450793496,-4.693965926099179,0.2247161039904944
18179,2012,missouri_butler,9.840612982800002,0.1635916977703184,-1.0640217102405003,-3.1302220291422342,0.5878947852372842,-3.969027842275105,-4.46721400077006,-4.759885207724291,-4.847200042459337,0.2247161039904944
18215,2012,missouri_cape girardeau,5.0237928612,-0.2183428695514088,-1.2479428974787394,-3.160935708114079,0.5135788241028738,-4.024771426064628,-4.590128588903518,-4.90528096380688,-5.078928589139667,0.2247161039904944
18253,2012,missouri_dunklin,9.740262563600002,0.4286968021732854,-0.9868040714736578,-3.1936502770540565,0.4957814782298393,-4.001532590611183,-4.48018615592456,-4.771979146392632,-4.972010243657633,0.2247161039904944
18294,2012,missouri_new madrid,9.9785948092,-0.1180967463850451,-1.3752537470746693,-3.446032306072265,0.5397292411907488,-4.420655701217047,-4.949171495102117,-5.223696570954201,-5.29738699096069,0.2247161039904944
18332,2012,missouri_pemiscot,10.0413138212,-1.0182585471746872,-1.7196530995725772,-3.714642861911229,0.5049662690667793,-4.58957126286565,-5.085367320183995,-5.349115731116055,-5.535455922366811,0.2247161039904944
18370,2012,missouri_scott,8.7304864704,-0.0285483013146895,-1.3936846678514418,-3.508956445943701,0.4688300481208316,-4.476975441542956,-4.969630581909869,-5.213949263668101,-5.199084224287806,0.2247161039904944
18408,2012,missouri_stoddard,8.1283839552,-0.3800298036589344,-1.3045493622997373,-3.3513247503075974,0.4934076817007852,-4.26090005960824,-4.763935159633552,-5.036827768023008,-5.017682243752163,0.2247161039904944
18449,2012,missouri_barton,4.4906812592,-2.546296305126614,-2.0918518746340715,-2.8402777777777777,0.4036560981701841,-3.5636110968059964,-4.140740712483724,-4.466296293117382,-4.460925896962483,0.2247161039904944
18490,2012,missouri_jasper,3.8634911392,-2.765701838443197,-2.2944850268337014,-3.044618631279609,0.3413496539032254,-3.721981772232553,-4.254306899107626,-4.556605826041742,-4.501132260504519,0.2247161039904944
18521,2012,missouri_lawrence,4.4028746424000005,-3.0966667334238687,-2.755000034968059,-3.532500028610229,0.3272177282991131,-4.284999847412109,-4.794999917348226,-5.014999866485596,-4.876666863759358,0.2247161039904944
18595,2012,missouri_cass,3.0418720820000003,-2.275000015894572,-2.553333361943563,-4.1549999713897705,0.3567064622137451,-4.957499980926514,-5.46999979019165,-5.774999777475993,-5.838333447774251,0.2247161039904944
18631,2012,missouri_henry,2.163805914,-2.106666723887125,-2.06166664759318,-3.872499942779541,0.3524884224313495,-4.670000076293945,-5.21999994913737,-5.526666641235352,-5.743333498636882,0.2247161039904944
18670,2012,missouri_jackson,4.7164697024,-2.0326987964561187,-2.452859435024032,-4.017385405804737,0.5061608762689513,-4.907957800899643,-5.402204852889341,-5.681345496886227,-5.593996088188814,0.2247161039904944
18709,2012,missouri_johnson,3.5498960792000003,-1.8300000031789143,-1.903333346048991,-3.414999961853028,0.4209193342789171,-4.2174999713897705,-4.71999994913737,-5.053333282470703,-5.298333485921224,0.2247161039904944
18750,2012,missouri_lafayette,5.0237928612,-1.7944830607752795,-2.056510744482135,-3.625997564991053,0.4878020999157211,-4.4670453632592295,-4.984750763028794,-5.299805544457204,-5.3079194179033005,0.2247161039904944
18790,2012,missouri_vernon,4.2460771124,-2.1468737042472696,-1.8244832972230127,-2.8312635848835663,0.3696505530550922,-3.618181596475286,-4.257290035162673,-4.61729805154114,-4.675257311799126,0.2247161039904944
18827,2012,nebraska_buffalo,11.9542436872,-1.881172679399213,-1.9318918750244949,-3.5889291945539465,0.5281210934139895,-4.287789093232562,-4.715372255033794,-5.230172364905203,-5.665726303320752,0.5796538287734367
18868,2012,nebraska_custer,10.367452683600002,-1.7205656360253203,-1.6254459722823933,-3.750488402095117,0.4420534180478958,-4.469981652527227,-4.91125321557409,-5.494423386000008,-6.118054839767424,0.5796538287734367
18909,2012,nebraska_dawson,11.684551935600002,-1.6108172233147928,-1.6352926295326662,-3.5753227897079225,0.5528501377273501,-4.144518801413124,-4.449512745705411,-4.918450069817048,-5.418582047645655,0.5796538287734367
