,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
3902,2016,illinois_pike,11.3960444804,1.0489373496060033,0.982755639650258,-0.9069423129687056,-0.5373241058360825,-0.3580253818707442,-0.1647303273308824,-0.3115602430224093,0.0119269706240827
3942,2016,illinois_sangamon,13.9298925652,1.0460789057750175,0.9986362227256272,-0.3490805351822577,0.4442870585650484,1.2028013466241485,1.7677420555171353,1.700283824581735,0.0027139152309744
3984,2016,illinois_scott,12.123585019600002,0.7333090012739556,0.6628462523982787,-0.4417937001317137,-0.0245935585956942,0.33304401223543,0.8997422887774839,0.7428871990189126,0.0600525645899796
4024,2016,indiana_bartholomew,10.7374948544,2.117512472568408,2.0227053850723,1.625265472452306,2.2444873735762525,3.3795951465612206,4.257348268086283,4.421924092364587,0.1427584863563118
4064,2016,indiana_boone,11.2956940612,1.294371230669209,1.265952121437409,1.3369280360403772,1.4182891525116028,1.509797668561802,1.8427217813553327,2.047661115346587,0.0989850689400095
4106,2016,indiana_clinton,11.9542436872,1.0108622908107496,1.0461446887446222,0.9245441113461458,0.8610127321145455,0.6283348394998614,0.8390839482354769,1.1077514201071634,0.0067584006920602
4147,2016,indiana_decatur,11.2204312468,1.6718665574362663,1.61833432743091,1.3922632925020872,1.5502146939906387,2.0935271775121493,2.818503383828548,3.1856103808819607,0.0989850689400095
4227,2016,indiana_hamilton,11.258062654000002,0.5967670553069779,0.6435023555529235,0.1254110297827265,0.0595262238868969,0.2292404245644161,0.6413793307330281,1.210997741202419,0.0513203014510723
4269,2016,indiana_hancock,10.812757668800002,1.2490342523906033,1.2599415409415975,0.8256834014376615,0.7548966851812383,1.1306239268712932,2.030361351530322,2.3790666202289565,0.0989850689400095
4311,2016,indiana_hendricks,11.214159345600002,1.3712819725625751,1.3948855771908242,1.2654219252451808,1.2881555416471815,1.4659683610166845,1.9791536157802088,2.354455393578522,0.0989850689400095
4352,2016,indiana_howard,12.0859536124,-0.7218735521633386,-0.7017095842352713,-1.1325209784810324,-1.3357007159773522,-1.4114187953139965,-0.8287504766133534,-0.3305488033805841,0.0989850689400095
