Year,sta_con,irrigated maize area,maize area,PIC
2003,georgia_macon,1910.0,2403.0,0.7948397836038286
2003,georgia_marion,599.5,549.0,1.0
2003,georgia_pike,1955.1984228474,79.5,1.0
2003,georgia_talbot,1955.1984228474,49.0,1.0
2003,georgia_taylor,235.0,508.0,0.4625984251968504
2003,georgia_upson,87.0,149.0,0.5838926174496645
2003,hawaii_kauai,1075.0,1075.0,1.0
2003,hawaii_maui & kalwao,1463.0,642.0,1.0
2003,hawaii_honolulu,1463.0,3381.0,0.432712215320911
2003,idaho_bingham,2298.6666666666665,2298.6666666666665,1.0
2003,idaho_franklin,1105.0,1105.0,1.0
2003,idaho_power,3163.0,3163.0,1.0
2003,idaho_boundary,5640.8859126984125,5640.8859126984125,1.0
2003,idaho_blaine,5640.8859126984125,5640.8859126984125,1.0
2003,idaho_cassia,235.0,235.0,1.0
2003,idaho_gooding,4119.0,4119.0,1.0
2003,idaho_jerome,1000.0,1000.0,1.0
2003,idaho_lincoln,3034.0,3034.0,1.0
2003,idaho_minidoka,4274.0,4274.0,1.0
2003,idaho_twin falls,2899.0,2899.0,1.0
2003,idaho_ada,1574.0,1574.0,1.0
2003,idaho_canyon,13822.0,13822.0,1.0
2003,idaho_elmore,1879.0,1879.0,1.0
2003,idaho_gem,1765.0,1765.0,1.0
2003,idaho_owyhee,5404.0,5404.0,1.0
2003,idaho_payette,4608.0,4608.0,1.0
2003,idaho_washington,755.0,755.0,1.0
2003,illinois_logan,1116.0,171505.0,0.006507098918398881
2003,illinois_marshall,2126.0,86347.0,0.024621585000057906
2003,illinois_mason,44406.0,116459.0,0.38130157394447833
2003,illinois_mclean,1758.0,326970.0,0.005376640058720983
2003,illinois_menard,1595.0,65078.0,0.024509050677648362
2003,illinois_peoria,1428.0,108237.0,0.013193270323456859
2003,illinois_tazewell,16644.0,144791.0,0.1149518961813925
2003,illinois_woodford,294.5,138079.0,0.0021328369991092055
2003,illinois_champaign,2831.0,277527.0,0.01020080929062758
2003,illinois_ford,424.0,133356.0,0.003179459491886379
2003,illinois_iroquois,1691.0,320080.0,0.00528305423644089
2003,illinois_kankakee,6114.0,167548.0,0.03649103540477953
2003,illinois_livingston,4666.171891327063,293226.0,0.015913226969392427
2003,illinois_piatt,192.0,126608.0,0.0015164918488563123
2003,illinois_vermilion,565.5,205886.0,0.0027466656304945456
2003,illinois_clark,2249.0,99892.0,0.022514315460697553
2003,illinois_crawford,3451.0,73361.0,0.047041343493136684
2003,illinois_douglas,3.0,108357.0,2.7686259309504694e-05
2003,illinois_edgar,4666.171891327063,160724.0,0.029032203599506378
2003,illinois_effingham,412.0,90136.0,0.004570870684299281
2003,illinois_fayette,4.0,100774.0,3.9692777899061266e-05
2003,illinois_lawrence,4895.0,73429.0,0.06666303504065152
2003,illinois_marion,96.0,63388.0,0.0015144822363854357
2003,illinois_boone,4666.171891327063,63941.0,0.07297621074626708
2003,illinois_de kalb,470.0,186374.0,0.0025218109822185497
2003,illinois_kendall,4666.171891327063,80030.0,0.05830528416002828
2003,illinois_la salle,1911.0,270021.0,0.007077227326763474
2003,illinois_mchenry,3558.0,96978.0,0.036688733527191736
2003,illinois_will,4666.171891327063,114430.0,0.04077752242704766
2003,illinois_bureau,5599.0,251941.0,0.022223457079236807
2003,illinois_carroll,2312.0,122362.0,0.018894754907569342
2003,illinois_henry,3201.0,218570.0,0.014645193759436336
