sta_con,Longitude,Latitude
georgia_dodge,-83.1685535,32.17207684
georgia_dooly,-83.79878444,32.15716545
georgia_dougherty,-84.21636186,31.53332257
georgia_douglas,-84.76821211,33.70077175
georgia_early,-84.90516321,31.32312097
georgia_echols,-82.89386143,30.71006216
georgia_effingham,-81.34068083,32.36886244
georgia_elbert,-82.84012934,34.11687887
georgia_emanuel,-82.30191055,32.58974808
georgia_evans,-81.88684792,32.15661946
georgia_fannin,-84.32101912,34.86467799
georgia_fayette,-84.49426665,33.41386457
georgia_floyd,-85.21461796,34.26234849
georgia_forsyth,-84.12508255,34.22538524
georgia_franklin,-83.22902983,34.37589178
georgia_fulton,-84.46709692,33.79006031
georgia_gilmer,-84.45600016,34.69082045
georgia_glascock,-82.61072292,33.22932956
georgia_glynn,-81.54749207,31.23386846
georgia_gordon,-84.8756061,34.50354129
georgia_grady,-84.23434642,30.87515909
georgia_greene,-83.16659172,33.57887005
georgia_gwinnett,-84.02349444,33.96133021
georgia_habersham,-83.53107553,34.63097365
georgia_hall,-83.81967943,34.31682294
georgia_hancock,-83.00086963,33.27023454
georgia_haralson,-85.20990391,33.79413424
georgia_harris,-84.90952073,32.73623456
georgia_hart,-82.96406682,34.35119103
georgia_heard,-85.12906525,33.29697366
georgia_henry,-84.15521998,33.45343163
georgia_houston,-83.6662714,32.4590272
georgia_irwin,-83.27630957,31.60237187
georgia_jackson,-83.56658202,34.13394232
georgia_jasper,-83.68840611,33.31600453
georgia_jeff davis,-82.63681557,31.80571484
georgia_jefferson,-82.41777846,33.05534784
georgia_jenkins,-81.96357579,32.79245584
georgia_johnson,-82.66015779,32.70144514
georgia_jones,-83.56044069,33.02464367
georgia_lamar,-84.13941767,33.07649958
georgia_lanier,-83.06317701,31.03796606
georgia_laurens,-82.92225776,32.46368927
georgia_lee,-84.14126763,31.77933144
georgia_liberty,-81.49925894,31.83029204
georgia_lincoln,-82.45193667,33.79435479
georgia_long,-81.74551873,31.75248254
georgia_lowndes,-83.26800742,30.83257632
georgia_lumpkin,-84.00303378,34.57209948
georgia_macon,-84.04247915,32.35766521
georgia_madison,-83.20914372,34.12782702
georgia_marion,-84.52487672,32.35333105
georgia_mcduffie,-82.48154298,33.48318316
georgia_mcintosh,-81.41132588,31.5022995
georgia_meriwether,-84.68839026,33.04079943
georgia_miller,-84.7308345,31.16394733
georgia_mitchell,-84.19419461,31.22537624
georgia_monroe,-83.91890773,33.01417669
georgia_montgomery,-82.53500449,32.17332463
georgia_morgan,-83.49220851,33.59081404
georgia_murray,-84.74878866,34.78951816
georgia_muscogee,-84.87789871,32.50987638
georgia_newton,-83.85042216,33.55501891
georgia_oconee,-83.43712435,33.83527169
georgia_oglethorpe,-83.08059787,33.88087282
georgia_paulding,-84.86637224,33.91944158
georgia_peach,-83.82725176,32.56863272
georgia_pickens,-84.46571829,34.46409786
georgia_pierce,-82.21318593,31.35895486
georgia_pike,-84.38922863,33.09222284
georgia_polk,-85.18876115,34.00110247
georgia_pulaski,-83.47646768,32.23283359
georgia_putnam,-83.37267922,33.32169609
georgia_quitman,-85.020513,31.86789207
georgia_rabun,-83.40249125,34.88223539
georgia_randolph,-84.75397701,31.76286251
georgia_richmond,-82.0737986,33.35953177
georgia_rockdale,-84.02676327,33.65444529
georgia_schley,-84.3146361,32.26204385
georgia_screven,-81.61167066,32.75088861
georgia_seminole,-84.86907852,30.93820786
georgia_spalding,-84.28423216,33.26086422
georgia_stephens,-83.29281895,34.55457402
georgia_stewart,-84.83723912,32.07888892
georgia_sumter,-84.1970633,32.03990031
georgia_talbot,-84.53317555,32.69945996
georgia_taliaferro,-82.87873427,33.56611935
georgia_tattnall,-82.05861865,32.04555059
georgia_taylor,-84.24950357,32.55554544
georgia_telfair,-82.93882582,31.92996641
georgia_terrell,-84.43701609,31.77700878
georgia_thomas,-83.91919628,30.86415421
georgia_tift,-83.52659897,31.45746706
georgia_toombs,-82.33169803,32.12223749
georgia_towns,-83.73720176,34.91678
georgia_treutlen,-82.5672432,32.40370453
georgia_troup,-85.02894554,33.03334009
georgia_turner,-83.62413866,31.71640358
georgia_twiggs,-83.42718667,32.66720925
georgia_union,-83.99088291,34.83457264
georgia_upson,-84.30017066,32.88140147
georgia_walker,-85.30127334,34.73542361
georgia_walton,-83.73378494,33.78155162
georgia_ware,-82.42362417,31.05315975
georgia_warren,-82.67681375,33.40906368
georgia_washington,-82.79583992,32.96955671
georgia_wayne,-81.91674288,31.5515047
georgia_webster,-84.55090313,32.046993
georgia_wheeler,-82.72470845,32.11705929
georgia_white,-83.74730987,34.64634746
georgia_whitfield,-84.96805316,34.80606978
georgia_wilcox,-83.43230624,31.97337619
georgia_wilkes,-82.74376429,33.78213178
georgia_wilkinson,-83.17121205,32.80251008
georgia_worth,-83.85086152,31.5514224
hawaii_hawaii,-155.518375,19.59808365
hawaii_honolulu,-157.9731145,21.45834155
hawaii_kalawao,-156.951615,21.1669877
hawaii_kauai,-159.6025667,22.03949734
hawaii_maui,-156.5635761,20.8586132
idaho_ada,-116.2403129,43.45043165
idaho_adams,-116.4526303,44.89028638
idaho_bannock,-112.2243542,42.67062007
idaho_bear lake,-111.3287612,42.28484808
idaho_benewah,-116.6564728,47.21886109
idaho_bingham,-112.3987676,43.21725277
idaho_blaine,-113.9785008,43.41099895
idaho_boise,-115.7310788,43.98910345
idaho_bonner,-116.602244,48.30015917
idaho_bonneville,-111.6148781,43.38877942
idaho_boundary,-116.4634479,48.76744163
idaho_butte,-113.1698481,43.72449807
idaho_camas,-114.8065926,43.46421597
idaho_canyon,-116.7065397,43.62608681
idaho_caribou,-111.5622835,42.77160156
idaho_cassia,-113.6013254,42.28428409
idaho_clark,-112.3485235,44.28484816
idaho_clearwater,-115.6573772,46.67332509
idaho_custer,-114.2809356,44.24112459
idaho_elmore,-115.4694987,43.35478264
idaho_franklin,-111.8144921,42.18291836
idaho_fremont,-111.4811686,44.22899369
idaho_gem,-116.397866,44.06195418
idaho_gooding,-114.8103949,42.97163394
idaho_idaho,-115.466483,45.8453404
idaho_jefferson,-112.3090515,43.82064352
idaho_jerome,-114.2629579,42.69009118
idaho_kootenai,-116.6998094,47.67422927
idaho_latah,-116.7104158,46.81799659
idaho_lemhi,-113.9327207,44.94313985
idaho_lewis,-116.4268515,46.23784046
idaho_lincoln,-114.1388589,43.00170583
idaho_madison,-111.6564833,43.78483688
idaho_minidoka,-113.6370664,42.85404737
idaho_nez perce,-116.7500024,46.32740161
idaho_oneida,-112.5412288,42.19566348
idaho_owyhee,-116.170417,42.58205571
idaho_payette,-116.75865,44.00800001
idaho_power,-112.8400772,42.69450409
idaho_shoshone,-115.888645,47.34991234
idaho_teton,-111.2070463,43.76031037
idaho_twin falls,-114.6668531,42.35629913
idaho_valley,-115.5663223,44.76678619
idaho_washington,-116.7836594,44.45378505
illinois_adams,-91.18807549,39.98822991
illinois_alexander,-89.33808399,37.19102073
illinois_bond,-89.43605734,38.88603337
illinois_boone,-88.82273737,42.32612985
illinois_brown,-90.74992418,39.96168535
illinois_bureau,-89.52909222,41.40459611
illinois_calhoun,-90.66732598,39.16974022
illinois_carroll,-89.93455046,42.07020845
illinois_cass,-90.24848332,39.97367426
illinois_champaign,-88.19960085,40.13975236
illinois_christian,-89.27776179,39.54406772
illinois_clark,-87.78820892,39.33442751
illinois_clay,-88.49164293,38.75437653
illinois_clinton,-89.42346973,38.60688213
illinois_coles,-88.22311908,39.52130137
illinois_cook,-87.81640633,41.84273765
illinois_crawford,-87.75891459,39.00350541
illinois_cumberland,-88.24072156,39.27372133
illinois_de kalb,-88.77054686,41.895861
illinois_de witt,-88.90546792,40.17475173
illinois_douglas,-88.21761525,39.76995685
illinois_dupage,-88.08512367,41.85257606
illinois_edgar,-87.74455907,39.67855701
illinois_edwards,-88.05317941,38.41630795
illinois_effingham,-88.59081185,39.0596173
illinois_fayette,-89.02526486,38.99979386
illinois_ford,-88.22394182,40.59689376
illinois_franklin,-88.92470134,37.99318639
illinois_fulton,-90.20773085,40.47277601
illinois_gallatin,-88.22725934,37.76568216
illinois_greene,-90.39107637,39.35625206
illinois_grundy,-88.41901933,41.28607457
illinois_hamilton,-88.53957983,38.08315048
illinois_hancock,-91.16451517,40.40370702
illinois_hardin,-88.26636995,37.52049228
illinois_henderson,-90.9242241,40.8184199
illinois_henry,-90.13131144,41.35386217
illinois_iroquois,-87.82421217,40.74818432
illinois_jackson,-89.38302923,37.7858822
illinois_jasper,-88.15365137,39.01011339
illinois_jefferson,-88.9257126,38.30070617
illinois_jersey,-90.35691628,39.08617396
illinois_jo daviess,-90.21197767,42.36711211
illinois_johnson,-88.87916917,37.46110872
illinois_kane,-88.42931439,41.93977596
illinois_kankakee,-87.86327227,41.13875092
illinois_kendall,-88.42975997,41.59096449
illinois_knox,-90.21350011,40.93141502
illinois_la salle,-88.88710991,41.34494963
illinois_lake,-88.00277249,42.32569132
illinois_lake michigan,-87.42362303,42.17668932
illinois_lawrence,-87.7276721,38.72020586
illinois_lee,-89.29936764,41.74674465
illinois_livingston,-88.55820049,40.89273486
illinois_logan,-89.36792073,40.12469073
illinois_macon,-88.96230973,39.85989875
illinois_macoupin,-89.92525683,39.26106551
illinois_madison,-89.90518821,38.82967532
illinois_marion,-88.92008035,38.64964918
illinois_marshall,-89.3454854,41.03336969
illinois_mason,-89.91673778,40.23990508
illinois_massac,-88.7073091,37.21857142
illinois_mcdonough,-90.67856974,40.45643613
illinois_mchenry,-88.45141729,42.32673975
